species,latitude,longitude
Batrachoseps wrighti,44.02004289,-122.2372685
Batrachoseps wrighti,44.02004289,-122.2372685
Batrachoseps wrighti,44.02004289,-122.2372685
Batrachoseps wrighti,44.02004289,-122.2372685
Batrachoseps wrighti,44.02004289,-122.2372685
Batrachoseps wrighti,43.83474652,-122.0444605
Batrachoseps wrighti,43.83474652,-122.0444605
Batrachoseps wrighti,43.69834804,-122.0325578
Batrachoseps wrighti,43.69834804,-122.0325578
Batrachoseps wrighti,45.501833,-122.181667
Batrachoseps wrighti,45.501833,-122.181667
Batrachoseps wrighti,45.501833,-122.181667
Batrachoseps wrighti,45.501833,-122.181667
Batrachoseps wrighti,45.3773,-122.100403
Batrachoseps wrighti,45.3671,-122.155098
Batrachoseps wrighti,45.377899,-122.101799
Batrachoseps wrighti,45.377899,-122.101799
Batrachoseps wrighti,45.377899,-122.101799
Batrachoseps wrighti,45.031975,-122.061186
Batrachoseps wrighti,45.031975,-122.061186
Batrachoseps wrighti,45.539842,-122.223652
Batrachoseps wrighti,44.020122,-122.237544
Batrachoseps wrighti,44.020122,-122.237544
Batrachoseps wrighti,44.020122,-122.237544
Batrachoseps wrighti,44.15457,-122.341174
Batrachoseps wrighti,45.3773,-122.1004
Batrachoseps wrighti,45.3773,-122.1004
Batrachoseps wrighti,45.367064,-122.155084
Batrachoseps wrighti,45.367064,-122.155084
Batrachoseps wrighti,45.367064,-122.155084
Batrachoseps wrighti,45.367064,-122.155084
Batrachoseps wrighti,45.367064,-122.155084
Batrachoseps wrighti,45.367064,-122.155084
Batrachoseps wrighti,45.308263,-122.135036
Batrachoseps wrighti,44.15968,-122.14542
Batrachoseps wrighti,44.15968,-122.14542
Batrachoseps wrighti,44.15968,-122.14542
Batrachoseps wrighti,44.15968,-122.14542
Batrachoseps wrighti,44.15968,-122.14542
Batrachoseps wrighti,45.375767,-122.114546
Batrachoseps wrighti,45.375767,-122.114546
Batrachoseps wrighti,45.308263,-122.135036
Batrachoseps wrighti,45.3773,-122.1004
Batrachoseps wrighti,45.3773,-122.1004
Batrachoseps wrighti,45.6713,-121.616
Batrachoseps wrighti,45.6278,-121.657
Batrachoseps wrighti,45.548,-122.38
Batrachoseps wrighti,45.538,-122.28
Batrachoseps wrighti,45.4543,-122.034
Batrachoseps wrighti,45.4252,-121.368
Batrachoseps wrighti,45.3536,-121.993
Batrachoseps wrighti,45.4223,-122.264
Batrachoseps wrighti,45.638,-122.276
Batrachoseps wrighti,45.1617,-122.347
Batrachoseps wrighti,44.8899,-122.63
Batrachoseps wrighti,44.5676,-122.275
Batrachoseps wrighti,44.8499,-122.329
Batrachoseps wrighti,44.7604,-121.941
Batrachoseps wrighti,44.604,-121.981
Batrachoseps wrighti,44.6834,-122.532
Batrachoseps wrighti,44.61,-122.696
Batrachoseps wrighti,44.5137,-122.651
Batrachoseps wrighti,44.5676,-122.275
Batrachoseps wrighti,44.5187,-122.555
Batrachoseps wrighti,44.2322,-122.155
Batrachoseps wrighti,44.0144,-122.235
Batrachoseps wrighti,45.322712,-122.113846
Batrachoseps wrighti,45.263912,-121.943067
Batrachoseps wrighti,45.490781,-122.289593
Batrachoseps wrighti,45.384507,-122.036361
Batrachoseps wrighti,45.35083,-121.9953
Batrachoseps wrighti,45.534957,-122.230316
